-81.0191398391,29.2135810852
-81.0191116333,29.2135047913
-81.0190963745,29.2134399414
-81.0190811157,29.2133884430
-81.0191040039,29.2133979797
-81.0191192627,29.2134056091
-81.0191116333,29.2134265900
-81.0191192627,29.2134361267
-81.0191268921,29.2136096954
-81.0191116333,29.2134246826
-81.0191192627,29.2133636475
-81.0190963745,29.2133464813
-81.0190658569,29.2133407593
-81.0190734863,29.2133350372
-81.0190811157,29.2132892609
-81.0190811157,29.2132568359
-81.0190734863,29.2132415771
-81.0190963745,29.2132320404
-81.0191040039,29.2132263184
-81.0191040039,29.2132167816
-81.0190811157,29.2132186890
-81.0190582275,29.2132377625
-81.0190429688,29.2132606506
-81.0190505981,29.2133750916
-81.0190582275,29.2135105133
-81.0190734863,29.2135581970
-81.0190658569,29.2135963440
-81.0190963745,29.2136058807
-81.0190582275,29.2135868073
-81.0190658569,29.2134685516
-81.0192260742,29.2136344910
-81.0192871094,29.2136383057
