112.7960052,-7.2866850
112.7960739,-7.2866521
112.7960587,-7.2867026
112.7960815,-7.2868457
112.7960587,-7.2868714
112.7960358,-7.2868752
112.7960358,-7.2868934
112.7960739,-7.2868776
112.7960739,-7.2870560
112.7960739,-7.2868881
112.7960205,-7.2869353
112.7960205,-7.2870007
112.7960434,-7.2870574
112.7961197,-7.2870970
112.7961884,-7.2871194
112.7961884,-7.2871394
112.7962112,-7.2871385
112.7962112,-7.2871222
112.7961884,-7.2871370
112.7961502,-7.2871418
112.7961502,-7.2870698
112.7961884,-7.2870426
112.7962341,-7.2870073
112.7962341,-7.2869706
112.7961884,-7.2869864
112.7961502,-7.2870226
112.7960968,-7.2870822
112.7960358,-7.2871208
112.7959824,-7.2871542
112.7960052,-7.2871537
112.7959824,-7.2871537
112.7960052,-7.2871504
